trait_no,try_no,kernel_name,nfolds,R2_test
12,2,2,10,0.001
12,3,2,10,0.001
12,4,2,10,0
12,5,2,10,0.003
12,6,2,10,0.001
12,7,2,10,0.003
12,8,2,10,0.004
12,9,2,10,0.009
12,10,2,10,0.001
13,1,1,10,0.191
13,2,1,10,0.194
13,3,1,10,0.189
13,4,1,10,0.188
13,5,1,10,0.197
13,6,1,10,0.206
13,7,1,10,0.192
13,8,1,10,0.178
13,9,1,10,0.196
13,10,1,10,0.19
13,1,2,10,0.196
13,2,2,10,0.203
13,3,2,10,0.186
13,4,2,10,0.2
13,5,2,10,0.197
13,6,2,10,0.225
13,7,2,10,0.199
13,8,2,10,0.189
13,9,2,10,0.203
13,10,2,10,0.203
14,1,1,10,0.34
14,2,1,10,0.336
14,3,1,10,0.335
14,4,1,10,0.343
14,5,1,10,0.319
14,6,1,10,0.33
14,7,1,10,0.323
14,8,1,10,0.325
14,9,1,10,0.335
14,10,1,10,0.335
14,1,2,10,0.063
14,2,2,10,0.04
14,3,2,10,0.039
14,4,2,10,0.072
14,5,2,10,0.001
14,6,2,10,0.112
14,7,2,10,0.068
14,8,2,10,0.025
14,9,2,10,0.079
14,10,2,10,0.084
15,1,1,10,0.078
15,2,1,10,0.119
15,3,1,10,0.103
15,4,1,10,0.098
15,5,1,10,0.078
15,6,1,10,0.139
15,7,1,10,0.105
15,8,1,10,0.103
15,9,1,10,0.088
15,10,1,10,0.121
15,1,2,10,0
15,2,2,10,0.012
15,3,2,10,0
15,4,2,10,0.001
15,5,2,10,0.004
15,6,2,10,0.003
15,7,2,10,0.001
15,8,2,10,0.001
15,9,2,10,0.001
15,10,2,10,0.001
16,1,1,10,0.283
16,2,1,10,0.282
16,3,1,10,0.277
16,4,1,10,0.275
16,5,1,10,0.274
16,6,1,10,0.296
16,7,1,10,0.273
16,8,1,10,0.271
16,9,1,10,0.255
16,10,1,10,0.27
16,1,2,10,0.302
16,2,2,10,0.328
16,3,2,10,0.283
16,4,2,10,0.284
16,5,2,10,0.329
16,6,2,10,0.309
16,7,2,10,0.314
16,8,2,10,0.287
16,9,2,10,0.305
16,10,2,10,0.329
17,1,1,10,0.227
17,2,1,10,0.248
17,3,1,10,0.234
17,4,1,10,0.216
17,5,1,10,0.237
17,6,1,10,0.255
17,7,1,10,0.176
17,8,1,10,0.252
17,9,1,10,0.227
17,10,1,10,0.21
17,1,2,10,0.01
17,2,2,10,0
17,3,2,10,0.005
17,4,2,10,0.01
17,5,2,10,0.006
17,6,2,10,0.009
17,7,2,10,0.016
17,8,2,10,0.003
17,9,2,10,0.002
17,10,2,10,0.008
18,1,1,10,0.542
18,2,1,10,0.526
18,3,1,10,0.525
18,4,1,10,0.533
18,5,1,10,0.532
18,6,1,10,0.533
18,7,1,10,0.534
18,8,1,10,0.53
18,9,1,10,0.528
18,10,1,10,0.541
18,1,2,10,0.542
18,2,2,10,0.542
18,3,2,10,0.537
18,4,2,10,0.549
18,5,2,10,0.538
18,6,2,10,0.533
18,7,2,10,0.541
18,8,2,10,0.529
18,9,2,10,0.536
18,10,2,10,0.548
19,1,1,10,0.537
19,2,1,10,0.536
19,3,1,10,0.542
19,4,1,10,0.521
19,5,1,10,0.546
19,6,1,10,0.545
19,7,1,10,0.546
19,8,1,10,0.547
19,9,1,10,0.548
19,10,1,10,0.553
19,1,2,10,0.559
19,2,2,10,0.561
19,3,2,10,0.563
19,4,2,10,0.546
19,5,2,10,0.562
19,6,2,10,0.56
19,7,2,10,0.557
19,8,2,10,0.566
19,9,2,10,0.573
19,10,2,10,0.566
20,1,1,10,0.591
20,2,1,10,0.573
20,3,1,10,0.585
20,4,1,10,0.575
20,5,1,10,0.597
20,6,1,10,0.589
20,7,1,10,0.585
20,8,1,10,0.573
20,9,1,10,0.579
20,10,1,10,0.576
20,1,2,10,0.676
20,2,2,10,0.664
20,3,2,10,0.669
20,4,2,10,0.667
20,5,2,10,0.678
20,6,2,10,0.664
20,7,2,10,0.663
20,8,2,10,0.663
20,9,2,10,0.672
20,10,2,10,0.658
21,1,1,10,0.233
21,2,1,10,0.211
21,3,1,10,0.242
21,4,1,10,0.239
21,5,1,10,0.232
21,6,1,10,0.23
21,7,1,10,0.236
21,8,1,10,0.235
21,9,1,10,0.243
21,10,1,10,0.245
21,1,2,10,0.001
21,2,2,10,0.004
21,3,2,10,0.018
21,4,2,10,0
21,5,2,10,0.016
21,6,2,10,0.015
21,7,2,10,0.001
21,8,2,10,0.001
21,9,2,10,0.032
21,10,2,10,0.009
22,1,1,10,0.349
22,2,1,10,0.35
22,3,1,10,0.354
22,4,1,10,0.351
22,5,1,10,0.349
22,6,1,10,0.357
22,7,1,10,0.357
22,8,1,10,0.353
22,9,1,10,0.366
22,10,1,10,0.35
22,1,2,10,0.084
22,2,2,10,0.098
22,3,2,10,0.116
22,4,2,10,0.1
22,5,2,10,0.059
22,6,2,10,0.056
22,7,2,10,0.151
22,8,2,10,0.075
22,9,2,10,0.136
22,10,2,10,0.19
23,1,1,10,0.483
23,2,1,10,0.482
23,3,1,10,0.473
23,4,1,10,0.478
23,5,1,10,0.475
23,6,1,10,0.473
23,7,1,10,0.467
23,8,1,10,0.479
23,9,1,10,0.477
23,10,1,10,0.484
23,1,2,10,0.258
23,2,2,10,0.15
23,3,2,10,0.315
23,4,2,10,0.309
23,5,2,10,0.216
23,6,2,10,0.287
23,7,2,10,0.319
23,8,2,10,0.246
23,9,2,10,0.353
23,10,2,10,0.29
24,1,1,10,0.213
24,2,1,10,0.203
24,3,1,10,0.191
24,4,1,10,0.197
24,5,1,10,0.192
24,6,1,10,0.205
24,7,1,10,0.197
24,8,1,10,0.208
24,9,1,10,0.204
24,10,1,10,0.203
24,1,2,10,0.189
24,2,2,10,0.172
24,3,2,10,0.185
24,4,2,10,0.179
24,5,2,10,0.182
24,6,2,10,0.188
24,7,2,10,0.181
24,8,2,10,0.194
24,9,2,10,0.167
24,10,2,10,0.185
25,1,1,10,0.389
25,2,1,10,0.377
25,3,1,10,0.378
25,4,1,10,0.384
25,5,1,10,0.386
25,6,1,10,0.377
25,7,1,10,0.384
25,8,1,10,0.384
25,9,1,10,0.387
25,10,1,10,0.383
25,1,2,10,0.402
25,2,2,10,0.345
25,3,2,10,0.383
25,4,2,10,0.395
25,5,2,10,0.379
25,6,2,10,0.39
25,7,2,10,0.38
25,8,2,10,0.392
25,9,2,10,0.384
25,10,2,10,0.397
26,1,1,10,0.583
26,2,1,10,0.569
26,3,1,10,0.58
26,4,1,10,0.582
26,5,1,10,0.577
26,6,1,10,0.577
26,7,1,10,0.573
26,8,1,10,0.574
26,9,1,10,0.564
26,10,1,10,0.575
26,1,2,10,0.065
26,2,2,10,0.003
26,3,2,10,0
26,4,2,10,0
26,5,2,10,0.001
26,6,2,10,0.111
26,7,2,10,0.048
26,8,2,10,0.037
26,9,2,10,0.041
26,10,2,10,0.17
27,1,1,10,0.427
27,2,1,10,0.436
27,3,1,10,0.431
27,4,1,10,0.415
27,5,1,10,0.433
27,6,1,10,0.429
27,7,1,10,0.431
27,8,1,10,0.441
27,9,1,10,0.442
27,10,1,10,0.436
27,1,2,10,0.138
27,2,2,10,0.057
27,3,2,10,0.103
27,4,2,10,0.056
27,5,2,10,0.045
27,6,2,10,0.11
27,7,2,10,0.039
27,8,2,10,0.057
27,9,2,10,0.087
27,10,2,10,0.043
28,1,1,10,0.377
28,2,1,10,0.385
28,3,1,10,0.376
28,4,1,10,0.38
28,5,1,10,0.374
28,6,1,10,0.357
28,7,1,10,0.378
28,8,1,10,0.373
28,9,1,10,0.366
28,10,1,10,0.371
28,1,2,10,0.323
28,2,2,10,0.37
28,3,2,10,0.378
28,4,2,10,0.375
28,5,2,10,0.366
28,6,2,10,0.347
28,7,2,10,0.368
28,8,2,10,0.371
28,9,2,10,0.367
28,10,2,10,0.361
29,1,1,10,0.353
29,2,1,10,0.35
29,3,1,10,0.35
29,4,1,10,0.355
29,5,1,10,0.354
29,6,1,10,0.338
29,7,1,10,0.353
29,8,1,10,0.353
29,9,1,10,0.36
29,10,1,10,0.35
29,1,2,10,0.111
29,2,2,10,0.088
29,3,2,10,0.067
29,4,2,10,0.136
29,5,2,10,0
29,6,2,10,0.037
29,7,2,10,0.076
29,8,2,10,0.022
29,9,2,10,0.11
29,10,2,10,0.053
30,1,1,10,0.327
30,2,1,10,0.317
30,3,1,10,0.331
30,4,1,10,0.325
30,5,1,10,0.343
30,6,1,10,0.319
30,7,1,10,0.32
30,8,1,10,0.334
30,9,1,10,0.334
30,10,1,10,0.342
30,1,2,10,0.318
30,2,2,10,0.325
30,3,2,10,0.339
30,4,2,10,0.335
30,5,2,10,0.339
30,6,2,10,0.317
30,7,2,10,0.315
30,8,2,10,0.335
30,9,2,10,0.322
30,10,2,10,0.336
31,1,1,10,0.472
31,2,1,10,0.465
31,3,1,10,0.475
31,4,1,10,0.459
31,5,1,10,0.476
31,6,1,10,0.48
31,7,1,10,0.474
31,8,1,10,0.477
31,9,1,10,0.465
31,10,1,10,0.476
31,1,2,10,0.487
31,2,2,10,0.483
31,3,2,10,0.49
31,4,2,10,0.48
31,5,2,10,0.497
